date,trainset_id,bay_id,bay_number,is_ibl_bay,shunt_cost,turnout_order
2025-01-01,TS-001,BAY-20,20,False,16.13,1
2025-01-01,TS-002,BAY-28,28,False,23.4,2
2025-01-01,TS-003,BAY-5,5,True,0.0,3
2025-01-01,TS-004,BAY-3,3,True,0.0,4
2025-01-01,TS-005,BAY-22,22,False,13.62,5
2025-01-01,TS-006,BAY-16,16,False,11.84,6
2025-01-01,TS-007,BAY-21,21,False,14.74,7
2025-01-01,TS-008,BAY-18,18,False,12.63,8
2025-01-01,TS-009,BAY-23,23,False,20.34,9
2025-01-01,TS-010,BAY-7,7,False,2.34,10
2025-01-01,TS-011,BAY-2,2,True,0.0,11
2025-01-01,TS-012,BAY-11,11,False,4.84,12
2025-01-01,TS-013,BAY-19,19,False,11.63,13
2025-01-01,TS-014,BAY-29,29,False,20.55,14
2025-01-01,TS-015,BAY-10,10,False,5.82,15
2025-01-01,TS-016,BAY-1,1,True,0.0,16
2025-01-01,TS-017,BAY-6,6,False,1.0,17
2025-01-01,TS-018,BAY-27,27,False,18.54,18
2025-01-01,TS-019,BAY-15,15,False,10.13,19
2025-01-01,TS-020,BAY-12,12,False,7.52,20
2025-01-01,TS-021,BAY-25,25,False,19.93,21
2025-01-01,TS-022,BAY-14,14,False,9.91,22
2025-01-01,TS-023,BAY-4,4,True,0.0,23
2025-01-01,TS-024,BAY-17,17,False,12.01,24
2025-01-01,TS-025,BAY-26,26,False,22.88,25
2025-01-02,TS-001,BAY-30,30,False,27.45,1
2025-01-02,TS-002,BAY-15,15,False,11.2,2
2025-01-02,TS-003,BAY-28,28,False,21.95,3
2025-01-02,TS-004,BAY-13,13,False,7.52,4
2025-01-02,TS-005,BAY-9,9,False,4.6,5
2025-01-02,TS-006,BAY-5,5,True,0.0,6
2025-01-02,TS-007,BAY-12,12,False,7.53,7
2025-01-02,TS-008,BAY-26,26,False,19.39,8
2025-01-02,TS-009,BAY-27,27,False,23.63,9
2025-01-02,TS-010,BAY-4,4,True,0.0,10
2025-01-02,TS-011,BAY-20,20,False,13.12,11
2025-01-02,TS-012,BAY-11,11,False,6.56,12
2025-01-02,TS-013,BAY-8,8,False,3.25,13
2025-01-02,TS-014,BAY-14,14,False,8.16,14
2025-01-02,TS-015,BAY-17,17,False,11.97,15
2025-01-02,TS-016,BAY-10,10,False,4.93,16
2025-01-02,TS-017,BAY-16,16,False,13.2,17
2025-01-02,TS-018,BAY-3,3,True,0.0,18
2025-01-02,TS-019,BAY-19,19,False,16.33,19
2025-01-02,TS-020,BAY-2,2,True,0.0,20
2025-01-02,TS-021,BAY-25,25,False,23.76,21
2025-01-02,TS-022,BAY-21,21,False,16.83,22
2025-01-02,TS-023,BAY-6,6,False,0.93,23
2025-01-02,TS-024,BAY-29,29,False,27.78,24
2025-01-02,TS-025,BAY-1,1,True,0.0,25
2025-01-03,TS-001,BAY-13,13,False,7.62,1
2025-01-03,TS-002,BAY-9,9,False,3.77,2
2025-01-03,TS-003,BAY-25,25,False,23.7,3
2025-01-03,TS-004,BAY-12,12,False,6.23,4
2025-01-03,TS-005,BAY-6,6,False,0.94,5
2025-01-03,TS-006,BAY-26,26,False,18.51,6
2025-01-03,TS-007,BAY-16,16,False,9.09,7
2025-01-03,TS-008,BAY-2,2,True,0.0,8
2025-01-03,TS-009,BAY-28,28,False,20.53,9
2025-01-03,TS-010,BAY-15,15,False,8.82,10
2025-01-03,TS-011,BAY-22,22,False,15.91,11
2025-01-03,TS-012,BAY-27,27,False,18.32,12
2025-01-03,TS-013,BAY-5,5,True,0.0,13
2025-01-03,TS-014,BAY-8,8,False,2.76,14
2025-01-03,TS-015,BAY-10,10,False,4.15,15
2025-01-03,TS-016,BAY-17,17,False,9.77,16
2025-01-03,TS-017,BAY-7,7,False,1.93,17
2025-01-03,TS-018,BAY-23,23,False,18.38,18
2025-01-03,TS-019,BAY-1,1,True,0.0,19
2025-01-03,TS-020,BAY-19,19,False,15.4,20
2025-01-03,TS-021,BAY-21,21,False,15.18,21
2025-01-03,TS-022,BAY-30,30,False,26.03,22
2025-01-03,TS-023,BAY-14,14,False,9.06,23
2025-01-03,TS-024,BAY-24,24,False,19.36,24
2025-01-03,TS-025,BAY-29,29,False,26.09,25
2025-01-04,TS-001,BAY-12,12,False,8.18,1
2025-01-04,TS-002,BAY-15,15,False,9.36,2
2025-01-04,TS-003,BAY-28,28,False,26.95,3
2025-01-04,TS-004,BAY-26,26,False,16.82,4
2025-01-04,TS-005,BAY-2,2,True,0.0,5
2025-01-04,TS-006,BAY-3,3,True,0.0,6
2025-01-04,TS-007,BAY-27,27,False,22.4,7
2025-01-04,TS-008,BAY-19,19,False,15.92,8
2025-01-04,TS-009,BAY-20,20,False,13.73,9
2025-01-04,TS-010,BAY-25,25,False,16.25,10
2025-01-04,TS-011,BAY-14,14,False,10.52,11
2025-01-04,TS-012,BAY-1,1,True,0.0,12
2025-01-04,TS-013,BAY-21,21,False,15.27,13
2025-01-04,TS-014,BAY-13,13,False,7.35,14
2025-01-04,TS-015,BAY-23,23,False,18.69,15
2025-01-04,TS-016,BAY-22,22,False,19.35,16
2025-01-04,TS-017,BAY-4,4,True,0.0,17
2025-01-04,TS-018,BAY-16,16,False,9.15,18
2025-01-04,TS-019,BAY-10,10,False,5.23,19
2025-01-04,TS-020,BAY-24,24,False,16.88,20
2025-01-04,TS-021,BAY-5,5,True,0.0,21
2025-01-04,TS-022,BAY-11,11,False,5.65,22
2025-01-04,TS-023,BAY-6,6,False,0.86,23
2025-01-04,TS-024,BAY-9,9,False,4.33,24
2025-01-04,TS-025,BAY-30,30,False,29.35,25
2025-01-05,TS-001,BAY-20,20,False,12.41,1
2025-01-05,TS-002,BAY-8,8,False,2.68,2
2025-01-05,TS-003,BAY-7,7,False,1.99,3
2025-01-05,TS-004,BAY-9,9,False,4.1,4
2025-01-05,TS-005,BAY-27,27,False,22.38,5
2025-01-05,TS-006,BAY-15,15,False,8.97,6
2025-01-05,TS-007,BAY-24,24,False,21.74,7
2025-01-05,TS-008,BAY-18,18,False,12.23,8
2025-01-05,TS-009,BAY-22,22,False,14.47,9
2025-01-05,TS-010,BAY-17,17,False,10.45,10
2025-01-05,TS-011,BAY-1,1,True,0.0,11
2025-01-05,TS-012,BAY-23,23,False,14.45,12
2025-01-05,TS-013,BAY-11,11,False,6.66,13
2025-01-05,TS-014,BAY-6,6,False,0.87,14
2025-01-05,TS-015,BAY-14,14,False,7.26,15
2025-01-05,TS-016,BAY-2,2,True,0.0,16
2025-01-05,TS-017,BAY-16,16,False,8.95,17
2025-01-05,TS-018,BAY-28,28,False,22.67,18
2025-01-05,TS-019,BAY-25,25,False,16.89,19
2025-01-05,TS-020,BAY-10,10,False,4.06,20
2025-01-05,TS-021,BAY-4,4,True,0.0,21
2025-01-05,TS-022,BAY-3,3,True,0.0,22
2025-01-05,TS-023,BAY-21,21,False,16.08,23
2025-01-05,TS-024,BAY-29,29,False,27.95,24
2025-01-05,TS-025,BAY-13,13,False,7.92,25
2025-01-06,TS-001,BAY-16,16,False,11.88,1
2025-01-06,TS-002,BAY-28,28,False,23.09,2
2025-01-06,TS-003,BAY-9,9,False,4.03,3
2025-01-06,TS-004,BAY-14,14,False,9.14,4
2025-01-06,TS-005,BAY-20,20,False,14.16,5
2025-01-06,TS-006,BAY-11,11,False,6.73,6
2025-01-06,TS-007,BAY-17,17,False,11.47,7
2025-01-06,TS-008,BAY-29,29,False,24.47,8
2025-01-06,TS-009,BAY-2,2,True,0.0,9
2025-01-06,TS-010,BAY-27,27,False,25.87,10
2025-01-06,TS-011,BAY-22,22,False,16.66,11
2025-01-06,TS-012,BAY-3,3,True,0.0,12
2025-01-06,TS-013,BAY-19,19,False,15.76,13
2025-01-06,TS-014,BAY-4,4,True,0.0,14
2025-01-06,TS-015,BAY-26,26,False,22.43,15
2025-01-06,TS-016,BAY-25,25,False,20.25,16
2025-01-06,TS-017,BAY-1,1,True,0.0,17
2025-01-06,TS-018,BAY-30,30,False,29.81,18
2025-01-06,TS-019,BAY-12,12,False,6.14,19
2025-01-06,TS-020,BAY-10,10,False,5.71,20
2025-01-06,TS-021,BAY-18,18,False,11.7,21
2025-01-06,TS-022,BAY-15,15,False,11.17,22
2025-01-06,TS-023,BAY-21,21,False,14.22,23
2025-01-06,TS-024,BAY-24,24,False,22.33,24
2025-01-06,TS-025,BAY-5,5,True,0.0,25
2025-01-07,TS-001,BAY-22,22,False,17.84,1
2025-01-07,TS-002,BAY-23,23,False,19.72,2
2025-01-07,TS-003,BAY-9,9,False,3.6,3
2025-01-07,TS-004,BAY-10,10,False,5.33,4
2025-01-07,TS-005,BAY-5,5,True,0.0,5
2025-01-07,TS-006,BAY-26,26,False,21.03,6
2025-01-07,TS-007,BAY-8,8,False,2.61,7
2025-01-07,TS-008,BAY-29,29,False,23.68,8
2025-01-07,TS-009,BAY-25,25,False,20.73,9
2025-01-07,TS-010,BAY-11,11,False,4.8,10
2025-01-07,TS-011,BAY-3,3,True,0.0,11
2025-01-07,TS-012,BAY-15,15,False,9.61,12
2025-01-07,TS-013,BAY-19,19,False,15.95,13
2025-01-07,TS-014,BAY-24,24,False,18.35,14
2025-01-07,TS-015,BAY-20,20,False,16.49,15
2025-01-07,TS-016,BAY-13,13,False,8.55,16
2025-01-07,TS-017,BAY-21,21,False,17.62,17
2025-01-07,TS-018,BAY-14,14,False,9.63,18
2025-01-07,TS-019,BAY-17,17,False,12.24,19
2025-01-07,TS-020,BAY-18,18,False,13.35,20
2025-01-07,TS-021,BAY-12,12,False,7.68,21
2025-01-07,TS-022,BAY-1,1,True,0.0,22
2025-01-07,TS-023,BAY-6,6,False,0.86,23
2025-01-07,TS-024,BAY-27,27,False,21.68,24
2025-01-07,TS-025,BAY-4,4,True,0.0,25
2025-01-08,TS-001,BAY-4,4,True,0.0,1
2025-01-08,TS-002,BAY-12,12,False,7.03,2
2025-01-08,TS-003,BAY-3,3,True,0.0,3
2025-01-08,TS-004,BAY-9,9,False,3.77,4
2025-01-08,TS-005,BAY-28,28,False,20.83,5
2025-01-08,TS-006,BAY-1,1,True,0.0,6
2025-01-08,TS-007,BAY-20,20,False,15.97,7
2025-01-08,TS-008,BAY-10,10,False,4.1,8
2025-01-08,TS-009,BAY-27,27,False,20.23,9
