date,trainset_id,days_since_deep_clean,needs_cleaning,available_cleaning_bays,available_manpower
2025-01-01,TS-001,19,True,3,9
2025-01-01,TS-002,27,True,3,9
2025-01-01,TS-003,19,True,3,9
2025-01-01,TS-004,28,True,3,9
2025-01-01,TS-005,29,True,3,9
2025-01-01,TS-006,17,True,3,9
2025-01-01,TS-007,21,True,3,9
2025-01-01,TS-008,22,True,3,9
2025-01-01,TS-009,7,False,3,9
2025-01-01,TS-010,10,True,3,9
2025-01-01,TS-011,19,True,3,9
2025-01-01,TS-012,17,True,3,9
2025-01-01,TS-013,23,True,3,9
2025-01-01,TS-014,25,True,3,9
2025-01-01,TS-015,4,False,3,9
2025-01-01,TS-016,28,True,3,9
2025-01-01,TS-017,2,False,3,9
2025-01-01,TS-018,8,True,3,9
2025-01-01,TS-019,10,True,3,9
2025-01-01,TS-020,10,True,3,9
2025-01-01,TS-021,19,True,3,9
2025-01-01,TS-022,2,False,3,9
2025-01-01,TS-023,1,False,3,9
2025-01-01,TS-024,23,True,3,9
2025-01-01,TS-025,18,True,3,9
2025-01-02,TS-001,17,True,2,9
2025-01-02,TS-002,22,True,2,9
2025-01-02,TS-003,16,True,2,9
2025-01-02,TS-004,29,True,2,9
2025-01-02,TS-005,14,True,2,9
2025-01-02,TS-006,5,False,2,9
2025-01-02,TS-007,1,False,2,9
2025-01-02,TS-008,24,True,2,9
2025-01-02,TS-009,3,False,2,9
2025-01-02,TS-010,5,False,2,9
2025-01-02,TS-011,26,True,2,9
2025-01-02,TS-012,16,True,2,9
2025-01-02,TS-013,22,True,2,9
2025-01-02,TS-014,12,True,2,9
2025-01-02,TS-015,8,True,2,9
2025-01-02,TS-016,13,True,2,9
2025-01-02,TS-017,6,False,2,9
2025-01-02,TS-018,13,True,2,9
2025-01-02,TS-019,19,True,2,9
2025-01-02,TS-020,8,True,2,9
2025-01-02,TS-021,7,False,2,9
2025-01-02,TS-022,20,True,2,9
2025-01-02,TS-023,21,True,2,9
2025-01-02,TS-024,12,True,2,9
2025-01-02,TS-025,15,True,2,9
2025-01-03,TS-001,7,False,2,5
2025-01-03,TS-002,26,True,2,5
2025-01-03,TS-003,27,True,2,5
2025-01-03,TS-004,19,True,2,5
2025-01-03,TS-005,5,False,2,5
2025-01-03,TS-006,21,True,2,5
2025-01-03,TS-007,13,True,2,5
2025-01-03,TS-008,17,True,2,5
2025-01-03,TS-009,5,False,2,5
2025-01-03,TS-010,8,True,2,5
2025-01-03,TS-011,13,True,2,5
2025-01-03,TS-012,13,True,2,5
2025-01-03,TS-013,4,False,2,5
2025-01-03,TS-014,2,False,2,5
2025-01-03,TS-015,15,True,2,5
2025-01-03,TS-016,12,True,2,5
2025-01-03,TS-017,12,True,2,5
2025-01-03,TS-018,13,True,2,5
2025-01-03,TS-019,11,True,2,5
2025-01-03,TS-020,12,True,2,5
2025-01-03,TS-021,20,True,2,5
2025-01-03,TS-022,18,True,2,5
2025-01-03,TS-023,22,True,2,5
2025-01-03,TS-024,4,False,2,5
2025-01-03,TS-025,13,True,2,5
2025-01-04,TS-001,25,True,3,10
2025-01-04,TS-002,25,True,3,10
2025-01-04,TS-003,3,False,3,10
2025-01-04,TS-004,11,True,3,10
2025-01-04,TS-005,17,True,3,10
2025-01-04,TS-006,14,True,3,10
2025-01-04,TS-007,13,True,3,10
2025-01-04,TS-008,5,False,3,10
2025-01-04,TS-009,25,True,3,10
2025-01-04,TS-010,21,True,3,10
2025-01-04,TS-011,23,True,3,10
2025-01-04,TS-012,29,True,3,10
2025-01-04,TS-013,10,True,3,10
2025-01-04,TS-014,25,True,3,10
2025-01-04,TS-015,13,True,3,10
2025-01-04,TS-016,26,True,3,10
2025-01-04,TS-017,20,True,3,10
2025-01-04,TS-018,6,False,3,10
2025-01-04,TS-019,21,True,3,10
2025-01-04,TS-020,23,True,3,10
2025-01-04,TS-021,10,True,3,10
2025-01-04,TS-022,3,False,3,10
2025-01-04,TS-023,2,False,3,10
2025-01-04,TS-024,12,True,3,10
2025-01-04,TS-025,19,True,3,10
2025-01-05,TS-001,26,True,2,6
2025-01-05,TS-002,21,True,2,6
2025-01-05,TS-003,6,False,2,6
2025-01-05,TS-004,18,True,2,6
2025-01-05,TS-005,2,False,2,6
2025-01-05,TS-006,17,True,2,6
2025-01-05,TS-007,4,False,2,6
2025-01-05,TS-008,17,True,2,6
2025-01-05,TS-009,11,True,2,6
2025-01-05,TS-010,6,False,2,6
2025-01-05,TS-011,23,True,2,6
2025-01-05,TS-012,26,True,2,6
2025-01-05,TS-013,4,False,2,6
2025-01-05,TS-014,8,True,2,6
2025-01-05,TS-015,5,False,2,6
2025-01-05,TS-016,26,True,2,6
2025-01-05,TS-017,15,True,2,6
2025-01-05,TS-018,22,True,2,6
2025-01-05,TS-019,1,False,2,6
2025-01-05,TS-020,8,True,2,6
2025-01-05,TS-021,28,True,2,6
2025-01-05,TS-022,5,False,2,6
2025-01-05,TS-023,3,False,2,6
2025-01-05,TS-024,5,False,2,6
2025-01-05,TS-025,17,True,2,6
2025-01-06,TS-001,23,True,4,7
2025-01-06,TS-002,4,False,4,7
2025-01-06,TS-003,21,True,4,7
2025-01-06,TS-004,20,True,4,7
2025-01-06,TS-005,1,False,4,7
2025-01-06,TS-006,1,False,4,7
2025-01-06,TS-007,11,True,4,7
2025-01-06,TS-008,15,True,4,7
2025-01-06,TS-009,26,True,4,7
2025-01-06,TS-010,8,True,4,7
2025-01-06,TS-011,7,False,4,7
2025-01-06,TS-012,23,True,4,7
2025-01-06,TS-013,5,False,4,7
2025-01-06,TS-014,14,True,4,7
2025-01-06,TS-015,5,False,4,7
2025-01-06,TS-016,17,True,4,7
2025-01-06,TS-017,14,True,4,7
2025-01-06,TS-018,19,True,4,7
2025-01-06,TS-019,6,False,4,7
2025-01-06,TS-020,15,True,4,7
2025-01-06,TS-021,2,False,4,7
2025-01-06,TS-022,14,True,4,7
2025-01-06,TS-023,2,False,4,7
2025-01-06,TS-024,11,True,4,7
2025-01-06,TS-025,7,False,4,7
2025-01-07,TS-001,8,True,2,5
2025-01-07,TS-002,1,False,2,5
2025-01-07,TS-003,26,True,2,5
2025-01-07,TS-004,7,False,2,5
2025-01-07,TS-005,19,True,2,5
2025-01-07,TS-006,21,True,2,5
2025-01-07,TS-007,25,True,2,5
2025-01-07,TS-008,13,True,2,5
2025-01-07,TS-009,8,True,2,5
2025-01-07,TS-010,6,False,2,5
2025-01-07,TS-011,16,True,2,5
2025-01-07,TS-012,8,True,2,5
2025-01-07,TS-013,3,False,2,5
2025-01-07,TS-014,7,False,2,5
2025-01-07,TS-015,10,True,2,5
2025-01-07,TS-016,9,True,2,5
2025-01-07,TS-017,3,False,2,5
2025-01-07,TS-018,15,True,2,5
2025-01-07,TS-019,12,True,2,5
2025-01-07,TS-020,24,True,2,5
2025-01-07,TS-021,19,True,2,5
2025-01-07,TS-022,7,False,2,5
2025-01-07,TS-023,24,True,2,5
2025-01-07,TS-024,5,False,2,5
2025-01-07,TS-025,1,False,2,5
2025-01-08,TS-001,26,True,3,6
2025-01-08,TS-002,23,True,3,6
2025-01-08,TS-003,4,False,3,6
2025-01-08,TS-004,6,False,3,6
2025-01-08,TS-005,8,True,3,6
2025-01-08,TS-006,22,True,3,6
2025-01-08,TS-007,19,True,3,6
2025-01-08,TS-008,3,False,3,6
2025-01-08,TS-009,5,False,3,6
2025-01-08,TS-010,25,True,3,6
2025-01-08,TS-011,5,False,3,6
2025-01-08,TS-012,15,True,3,6
2025-01-08,TS-013,13,True,3,6
2025-01-08,TS-014,16,True,3,6
2025-01-08,TS-015,6,False,3,6
2025-01-08,TS-016,13,True,3,6
2025-01-08,TS-017,26,True,3,6
2025-01-08,TS-018,21,True,3,6
2025-01-08,TS-019,10,True,3,6
2025-01-08,TS-020,5,False,3,6
2025-01-08,TS-021,2,False,3,6
2025-01-08,TS-022,2,False,3,6
2025-01-08,TS-023,22,True,3,6
2025-01-08,TS-024,24,True,3,6
2025-01-08,TS-025,21,True,3,6
2025-01-09,TS-001,2,False,3,11
2025-01-09,TS-002,5,False,3,11
2025-01-09,TS-003,17,True,3,11
2025-01-09,TS-004,23,True,3,11
2025-01-09,TS-005,28,True,3,11
2025-01-09,TS-006,29,True,3,11
2025-01-09,TS-007,7,False,3,11
2025-01-09,TS-008,17,True,3,11
2025-01-09,TS-009,9,True,3,11
2025-01-09,TS-010,6,False,3,11
