date,trainset_id,assignment,unscheduled_withdrawal,punctuality_score,branding_sla_met,outcome_score
2025-01-01,TS-001,IBL,False,1.0,True,0.9931
2025-01-01,TS-002,IBL,False,1.0,True,0.9496
2025-01-01,TS-003,SERVICE,False,0.9803,True,0.9383
2025-01-01,TS-004,IBL,False,1.0,True,0.9566
2025-01-01,TS-005,SERVICE,False,0.9876,True,0.938
2025-01-01,TS-006,SERVICE,False,0.9648,True,0.9596
2025-01-01,TS-007,SERVICE,False,0.9622,True,0.9504
2025-01-01,TS-008,IBL,False,1.0,True,0.9478
2025-01-01,TS-009,SERVICE,False,0.9926,True,0.9835
2025-01-01,TS-010,SERVICE,False,0.9706,True,0.9801
2025-01-01,TS-011,SERVICE,False,0.9861,True,0.9775
2025-01-01,TS-012,STANDBY,False,0.9387,True,0.9185
2025-01-01,TS-013,STANDBY,False,0.988,True,0.9577
2025-01-01,TS-014,IBL,False,1.0,True,0.9703
2025-01-01,TS-015,SERVICE,False,0.9858,True,0.9523
2025-01-01,TS-016,SERVICE,False,0.9779,True,0.9397
2025-01-01,TS-017,SERVICE,False,0.96,True,0.9692
2025-01-01,TS-018,IBL,False,1.0,True,0.9762
2025-01-01,TS-019,STANDBY,False,0.9974,True,0.9955
2025-01-01,TS-020,IBL,False,1.0,True,0.9943
2025-01-01,TS-021,SERVICE,False,0.9874,True,0.9911
2025-01-01,TS-022,IBL,False,1.0,True,0.9812
2025-01-01,TS-023,SERVICE,False,0.9895,True,0.9793
2025-01-01,TS-024,SERVICE,False,0.9876,True,0.9742
2025-01-01,TS-025,SERVICE,False,0.9951,True,0.9479
2025-01-02,TS-001,IBL,False,1.0,True,0.9425
2025-01-02,TS-002,STANDBY,False,0.9517,True,0.9475
2025-01-02,TS-003,SERVICE,False,0.9601,True,0.9364
2025-01-02,TS-004,IBL,False,1.0,True,0.9409
2025-01-02,TS-005,STANDBY,False,0.9294,True,0.961
2025-01-02,TS-006,SERVICE,False,0.969,True,0.9327
2025-01-02,TS-007,SERVICE,True,0.6555,True,0.6263
2025-01-02,TS-008,IBL,False,1.0,True,0.9453
2025-01-02,TS-009,SERVICE,False,0.9777,True,0.9347
2025-01-02,TS-010,SERVICE,False,0.9628,True,0.9659
2025-01-02,TS-011,SERVICE,False,0.9881,True,0.9642
2025-01-02,TS-012,SERVICE,True,0.8107,True,0.7155
2025-01-02,TS-013,IBL,False,1.0,True,0.9725
2025-01-02,TS-014,IBL,False,1.0,True,0.9628
2025-01-02,TS-015,SERVICE,False,0.9624,True,0.9655
2025-01-02,TS-016,SERVICE,False,0.9826,True,0.9628
2025-01-02,TS-017,SERVICE,False,0.9776,True,0.9508
2025-01-02,TS-018,IBL,False,1.0,True,0.9778
2025-01-02,TS-019,STANDBY,False,0.9476,True,0.9271
2025-01-02,TS-020,IBL,False,1.0,True,0.9443
2025-01-02,TS-021,SERVICE,False,0.9659,True,0.9497
2025-01-02,TS-022,IBL,False,1.0,True,0.9804
2025-01-02,TS-023,SERVICE,False,0.9975,True,0.9888
2025-01-02,TS-024,SERVICE,False,0.9823,True,0.9539
2025-01-02,TS-025,SERVICE,False,0.9976,True,0.9521
2025-01-03,TS-001,IBL,False,1.0,True,0.9606
2025-01-03,TS-002,STANDBY,False,0.954,True,0.9742
2025-01-03,TS-003,SERVICE,False,0.9862,True,0.9531
2025-01-03,TS-004,IBL,False,1.0,True,0.9786
2025-01-03,TS-005,IBL,False,1.0,True,0.9923
2025-01-03,TS-006,SERVICE,False,0.9632,True,0.9414
2025-01-03,TS-007,SERVICE,False,0.9767,False,0.7546
2025-01-03,TS-008,IBL,False,1.0,True,0.9508
2025-01-03,TS-009,SERVICE,False,0.9855,True,0.9524
2025-01-03,TS-010,SERVICE,False,0.9981,True,0.9575
2025-01-03,TS-011,SERVICE,False,0.9996,True,0.9794
2025-01-03,TS-012,IBL,False,1.0,True,0.9665
2025-01-03,TS-013,STANDBY,False,0.9605,True,0.9832
2025-01-03,TS-014,IBL,False,1.0,True,0.9472
2025-01-03,TS-015,SERVICE,False,0.9739,True,0.9338
2025-01-03,TS-016,SERVICE,False,0.9817,True,0.9493
2025-01-03,TS-017,SERVICE,False,0.9873,True,0.945
2025-01-03,TS-018,IBL,False,1.0,True,0.9739
2025-01-03,TS-019,STANDBY,False,0.9916,True,0.9597
2025-01-03,TS-020,IBL,False,1.0,True,0.9677
2025-01-03,TS-021,SERVICE,False,0.9811,True,0.9817
2025-01-03,TS-022,SERVICE,False,0.9951,True,0.9743
2025-01-03,TS-023,SERVICE,False,0.9676,True,0.9273
2025-01-03,TS-024,SERVICE,False,0.9714,True,0.9391
2025-01-03,TS-025,SERVICE,False,0.9864,True,0.9519
2025-01-04,TS-001,IBL,False,1.0,True,0.9797
2025-01-04,TS-002,IBL,False,1.0,True,0.9408
2025-01-04,TS-003,SERVICE,False,0.9728,False,0.763
2025-01-04,TS-004,IBL,False,1.0,True,0.9831
2025-01-04,TS-005,IBL,False,1.0,True,0.9882
2025-01-04,TS-006,SERVICE,False,0.9645,False,0.7829
2025-01-04,TS-007,IBL,False,1.0,True,0.9729
2025-01-04,TS-008,IBL,False,1.0,True,0.9942
2025-01-04,TS-009,SERVICE,False,0.9731,True,0.9754
2025-01-04,TS-010,SERVICE,False,0.9842,True,0.9559
2025-01-04,TS-011,SERVICE,False,0.9671,True,0.9465
2025-01-04,TS-012,STANDBY,False,0.9727,True,0.9825
2025-01-04,TS-013,SERVICE,False,0.9879,True,0.9569
2025-01-04,TS-014,IBL,False,1.0,True,0.9665
2025-01-04,TS-015,SERVICE,False,0.9695,True,0.9674
2025-01-04,TS-016,SERVICE,False,0.984,True,0.9895
2025-01-04,TS-017,SERVICE,False,0.9758,True,0.9388
2025-01-04,TS-018,IBL,False,1.0,True,0.9517
2025-01-04,TS-019,STANDBY,False,0.9951,True,0.9791
2025-01-04,TS-020,STANDBY,False,0.9367,True,0.9329
2025-01-04,TS-021,SERVICE,False,0.9831,True,0.9531
2025-01-04,TS-022,SERVICE,False,0.9763,True,0.9328
2025-01-04,TS-023,SERVICE,False,0.9928,True,0.9825
2025-01-04,TS-024,SERVICE,False,0.9904,True,0.9858
