job_id,date_opened,trainset_id,job_type,is_critical,date_closed,status_on_date
JOB-000001,2025-01-01,TS-001,hvac_service,False,2025-01-02,open
JOB-000002,2025-01-01,TS-008,telecom_repair,False,2025-01-02,open
JOB-000003,2025-01-01,TS-008,telecom_repair,False,2025-01-04,open
JOB-000004,2025-01-01,TS-010,door_repair,False,2025-01-01,open
JOB-000005,2025-01-01,TS-010,door_repair,False,2025-01-04,open
JOB-000006,2025-01-01,TS-010,telecom_repair,False,2025-01-01,open
JOB-000007,2025-01-01,TS-011,general_maintenance,False,2025-01-03,open
JOB-000008,2025-01-01,TS-012,door_repair,False,2025-01-02,open
JOB-000009,2025-01-01,TS-013,bogie_service,False,2025-01-01,open
JOB-000010,2025-01-01,TS-013,door_repair,False,2025-01-03,open
JOB-000011,2025-01-01,TS-014,door_repair,False,2025-01-01,open
JOB-000012,2025-01-01,TS-014,general_maintenance,True,2025-01-06,open
JOB-000013,2025-01-01,TS-016,telecom_repair,False,2025-01-02,open
JOB-000014,2025-01-01,TS-018,electrical,False,2025-01-04,open
JOB-000015,2025-01-01,TS-018,signalling_check,False,2025-01-01,open
JOB-000016,2025-01-01,TS-018,door_repair,False,2025-01-01,open
JOB-000017,2025-01-01,TS-023,door_repair,False,2025-01-03,open
JOB-000018,2025-01-01,TS-023,bogie_service,False,2025-01-01,open
JOB-000019,2025-01-01,TS-024,general_maintenance,False,2025-01-01,open
JOB-000020,2025-01-01,TS-024,signalling_check,False,2025-01-01,open
JOB-000021,2025-01-02,TS-002,door_repair,False,2025-01-02,open
JOB-000022,2025-01-02,TS-003,door_repair,False,2025-01-03,open
JOB-000023,2025-01-02,TS-004,bogie_service,False,2025-01-04,open
JOB-000024,2025-01-02,TS-006,electrical,False,2025-01-05,open
JOB-000025,2025-01-02,TS-007,signalling_check,False,2025-01-04,open
JOB-000026,2025-01-02,TS-008,door_repair,True,2025-01-05,open
JOB-000027,2025-01-02,TS-011,door_repair,False,2025-01-02,open
JOB-000028,2025-01-02,TS-011,electrical,False,2025-01-02,open
JOB-000029,2025-01-02,TS-011,door_repair,False,2025-01-04,open
JOB-000030,2025-01-02,TS-013,telecom_repair,False,2025-01-04,open
JOB-000031,2025-01-02,TS-015,brake_inspection,False,2025-01-05,open
JOB-000032,2025-01-02,TS-016,brake_inspection,False,2025-01-02,open
JOB-000033,2025-01-02,TS-016,signalling_check,False,2025-01-03,open
JOB-000034,2025-01-02,TS-020,bogie_service,True,2025-01-04,open
JOB-000035,2025-01-02,TS-020,telecom_repair,False,2025-01-05,open
JOB-000036,2025-01-02,TS-022,general_maintenance,False,2025-01-05,open
JOB-000037,2025-01-02,TS-023,general_maintenance,False,2025-01-04,open
JOB-000038,2025-01-02,TS-023,general_maintenance,False,2025-01-04,open
JOB-000039,2025-01-02,TS-023,electrical,False,2025-01-02,open
JOB-000040,2025-01-02,TS-024,door_repair,False,2025-01-05,open
JOB-000041,2025-01-02,TS-024,bogie_service,False,2025-01-02,open
JOB-000042,2025-01-02,TS-024,signalling_check,False,2025-01-02,open
JOB-000043,2025-01-02,TS-025,electrical,False,2025-01-05,open
JOB-000044,2025-01-03,TS-001,signalling_check,False,2025-01-04,open
JOB-000045,2025-01-03,TS-002,door_repair,False,2025-01-05,open
JOB-000046,2025-01-03,TS-004,electrical,False,2025-01-05,open
JOB-000047,2025-01-03,TS-005,brake_inspection,True,2025-01-07,open
JOB-000048,2025-01-03,TS-005,door_repair,False,2025-01-06,open
JOB-000049,2025-01-03,TS-007,door_repair,False,2025-01-04,open
JOB-000050,2025-01-03,TS-007,bogie_service,False,2025-01-03,open
JOB-000051,2025-01-03,TS-011,telecom_repair,False,2025-01-04,open
JOB-000052,2025-01-03,TS-012,telecom_repair,False,2025-01-04,open
JOB-000053,2025-01-03,TS-012,brake_inspection,False,2025-01-05,open
JOB-000054,2025-01-03,TS-012,telecom_repair,False,2025-01-05,open
JOB-000055,2025-01-03,TS-013,bogie_service,False,2025-01-06,open
JOB-000056,2025-01-03,TS-015,general_maintenance,False,2025-01-05,open
JOB-000057,2025-01-03,TS-017,signalling_check,False,2025-01-06,open
JOB-000058,2025-01-03,TS-018,telecom_repair,True,2025-01-06,open
JOB-000059,2025-01-03,TS-019,electrical,False,2025-01-05,open
JOB-000060,2025-01-03,TS-022,electrical,False,2025-01-03,open
JOB-000061,2025-01-03,TS-022,door_repair,False,2025-01-03,open
JOB-000062,2025-01-03,TS-025,door_repair,False,2025-01-06,open
JOB-000063,2025-01-04,TS-001,hvac_service,False,2025-01-04,open
JOB-000064,2025-01-04,TS-003,hvac_service,True,2025-01-08,open
JOB-000065,2025-01-04,TS-004,electrical,False,2025-01-07,open
JOB-000066,2025-01-04,TS-004,electrical,False,2025-01-07,open
JOB-000067,2025-01-04,TS-007,door_repair,True,2025-01-06,open
JOB-000068,2025-01-04,TS-008,signalling_check,False,2025-01-07,open
JOB-000069,2025-01-04,TS-011,electrical,False,2025-01-06,open
JOB-000070,2025-01-04,TS-013,electrical,False,2025-01-04,open
JOB-000071,2025-01-04,TS-014,electrical,True,2025-01-05,open
JOB-000072,2025-01-04,TS-014,door_repair,True,2025-01-05,open
JOB-000073,2025-01-04,TS-014,hvac_service,False,2025-01-05,open
JOB-000074,2025-01-04,TS-015,door_repair,False,2025-01-05,open
JOB-000075,2025-01-04,TS-016,brake_inspection,False,2025-01-04,open
