date,trainset_id,daily_km,cumulative_km,bogie_hours,brake_pad_wear_index,hvac_run_hours,door_cycles
2025-01-01,TS-001,0.0,176519.3,0.0,0.0,3.5,0
2025-01-01,TS-002,393.1,140355.0,8.7,0.0362,17.5,1118
2025-01-01,TS-003,224.6,72811.5,5.0,0.0032,16.2,1347
2025-01-01,TS-004,0.0,167803.5,0.0,0.0,2.4,0
2025-01-01,TS-005,364.1,115104.9,8.1,0.01,14.1,1104
2025-01-01,TS-006,304.3,84391.4,6.8,0.0135,15.1,869
2025-01-01,TS-007,0.0,115903.9,0.0,0.0,4.1,0
2025-01-01,TS-008,204.1,192744.7,4.5,0.0486,15.2,1260
2025-01-01,TS-009,354.7,67930.9,7.9,0.0026,17.7,922
2025-01-01,TS-010,406.4,75117.0,9.0,0.0256,14.9,1472
2025-01-01,TS-011,303.3,69480.6,6.7,0.0207,16.2,1182
2025-01-01,TS-012,302.0,132817.9,6.7,0.0292,15.8,1436
2025-01-01,TS-013,351.0,149213.0,7.8,0.0354,14.1,1264
2025-01-01,TS-014,0.0,130611.6,0.0,0.0,2.5,0
2025-01-01,TS-015,387.7,63062.7,8.6,0.0491,15.8,1380
2025-01-01,TS-016,271.4,77146.0,6.0,0.0366,16.1,872
2025-01-01,TS-017,0.0,53144.2,0.0,0.0,5.9,0
2025-01-01,TS-018,237.1,124770.7,5.3,0.0394,17.6,1462
2025-01-01,TS-019,373.2,152398.5,8.3,0.0096,17.3,1339
2025-01-01,TS-020,390.6,167444.1,8.7,0.0318,17.0,995
2025-01-01,TS-021,230.8,68085.9,5.1,0.0314,17.6,918
2025-01-01,TS-022,251.6,134111.5,5.6,0.0355,17.3,1250
2025-01-01,TS-023,305.1,92476.1,6.8,0.024,15.6,1109
2025-01-01,TS-024,312.2,125499.4,6.9,0.0192,16.9,1395
2025-01-01,TS-025,209.2,107942.6,4.6,0.0388,17.1,1229
2025-01-02,TS-001,300.3,176819.6,6.7,0.0377,15.7,1012
2025-01-02,TS-002,0.0,140355.0,0.0,0.0,5.7,0
2025-01-02,TS-003,0.0,72811.5,0.0,0.0,5.0,0
2025-01-02,TS-004,381.3,168184.8,8.5,0.0233,15.0,1190
2025-01-02,TS-005,391.9,115496.9,8.7,0.003,14.3,1179
2025-01-02,TS-006,402.1,84793.5,8.9,0.0009,15.3,1349
2025-01-02,TS-007,0.0,115903.9,0.0,0.0,4.0,0
2025-01-02,TS-008,205.9,192950.7,4.6,0.0148,16.4,1112
2025-01-02,TS-009,0.0,67930.9,0.0,0.0,5.9,0
2025-01-02,TS-010,377.9,75494.9,8.4,0.0392,14.7,974
2025-01-02,TS-011,264.8,69745.4,5.9,0.0155,14.5,875
2025-01-02,TS-012,236.5,133054.3,5.3,0.0019,15.3,915
2025-01-02,TS-013,375.6,149588.5,8.3,0.0054,14.7,1376
2025-01-02,TS-014,407.3,131018.9,9.1,0.0161,17.2,1481
2025-01-02,TS-015,0.0,63062.7,0.0,0.0,4.6,0
2025-01-02,TS-016,213.2,77359.2,4.7,0.0461,17.5,972
2025-01-02,TS-017,334.3,53478.5,7.4,0.0487,15.0,1187
2025-01-02,TS-018,275.1,125045.8,6.1,0.0348,14.2,925
