date,trainset_id,assignment,reward
2026-02-20 00:48:18.845518,TS-001,SERVICE,0.903
2026-02-20 00:48:18.845518,TS-002,IBL,0.917
2026-02-20 00:48:18.845518,TS-003,IBL,0.85
2026-02-20 00:48:18.845518,TS-004,SERVICE,0.8676
2026-02-20 00:48:18.845518,TS-005,IBL,0.8821
2026-02-20 00:48:18.845518,TS-006,SERVICE,0.9199
2026-02-20 00:48:18.845518,TS-007,SERVICE,0.8951
2026-02-20 00:48:18.845518,TS-008,IBL,0.8665
2026-02-20 00:48:18.845518,TS-009,SERVICE,0.9153
2026-02-20 00:48:18.845518,TS-010,SERVICE,0.8932
2026-02-20 00:48:18.845518,TS-011,IBL,0.8683
2026-02-20 00:48:18.845518,TS-012,SERVICE,0.8775
2026-02-20 00:48:18.845518,TS-013,SERVICE,0.9055
2026-02-20 00:48:18.845518,TS-014,IBL,0.9491
2026-02-20 00:48:18.845518,TS-015,SERVICE,0.8914
2026-02-20 00:48:18.845518,TS-016,SERVICE,0.8902
2026-02-20 00:48:18.845518,TS-017,IBL,0.9307
2026-02-20 00:48:18.845518,TS-018,SERVICE,0.8657
2026-02-20 00:48:18.845518,TS-019,SERVICE,0.9271
2026-02-20 00:48:18.845518,TS-020,SERVICE,0.6522
2026-02-20 00:48:18.845518,TS-021,SERVICE,0.8533
2026-02-20 00:48:18.845518,TS-022,SERVICE,0.8666
2026-02-20 00:48:18.845518,TS-023,SERVICE,0.891
2026-02-20 00:48:18.845518,TS-024,SERVICE,0.9138
2026-02-20 00:48:18.845518,TS-025,SERVICE,0.6678
