date,trainset_id,daily_km,cumulative_km,km_deviation_from_mean,km_balance_score,bogie_hours,brake_pad_wear_index,hvac_run_hours,door_cycles,cert_days_rolling_stock,cert_days_signalling,cert_days_telecom,min_cert_days,any_cert_expired,cert_expiring_soon,open_job_count,critical_open_jobs,has_critical_open,daily_exposure,exposure_gap,branding_urgency,days_since_deep_clean,needs_cleaning,available_cleaning_bays,available_manpower,bay_number,is_ibl_bay,shunt_cost,turnout_order,fault_count,critical_faults,high_faults,any_withdrawal,day_of_week,ensemble_score,pkl_score,pipe_score,ml_assignment,predicted_outcome_score,confidence_SERVICE,confidence_STANDBY,confidence_IBL,rank,eligible_for_service,must_ibl,prefer_ibl,rule_reasons,forced_ibl,final_assignment,service_score
2026-02-20 00:48:18.845518,TS-001,83.0,125000.0,12600.0,12600.0,8.5,0.75,7.2,996,60,60,60,60,0,0,0,0,0,18.0,0.0,0.0,767,1,3,8,1,1,1.5,1,0,0,0,0,4,0.5604,0.0002,0.9339,SERVICE,0.5604000091552734,0.9989,0.001,1e-04,11,True,False,False,CLEAR,False,SERVICE,0.4593617151457611
2026-02-20 00:48:18.845518,TS-002,73.0,98000.0,-14400.0,14400.0,7.2,0.65,6.8,876,60,60,60,60,0,0,0,1,1,17.099999999999998,5.0,6.0,768,1,3,8,2,1,1.5,2,1,1,0,0,4,0.5307,1e-04,0.8844,IBL,0.5307000279426575,0.4188,0.0917,0.4895,24,False,True,False,CRITICAL_JOB_OPEN,True,IBL,0.0
2026-02-20 00:48:18.845518,TS-003,93.0,156000.0,43600.0,43600.0,10.2,0.85,7.8,1116,-10,-773,-773,-773,1,0,1,2,1,16.2,10.0,8.0,772,1,3,8,1,1,2.0,1,2,2,0,0,4,0.5777,0.0,0.9629,IBL,0.5777000188827515,0.0,0.0002,0.9997,21,False,True,True,FITNESS_CERT_EXPIRED; CRITICAL_JOB_OPEN; CERT_EXPIRING_SOON,True,IBL,0.0
2026-02-20 00:48:18.845518,TS-004,67.0,87000.0,-25400.0,25400.0,6.8,0.6,6.4,804,60,60,60,60,0,0,0,0,0,18.0,0.0,0.0,766,1,3,8,3,1,1.5,3,0,0,0,0,4,0.5709,0.0002,0.9513,SERVICE,0.570900022983551,0.9999,1e-04,0.0,4,True,False,False,CLEAR,False,SERVICE,0.6557633367341528
2026-02-20 00:48:18.845518,TS-005,87.0,142000.0,29600.0,29600.0,9.6,0.8,7.6,1044,-737,-10,-737,-737,1,0,1,1,1,15.299999999999999,15.0,9.0,770,1,3,8,2,1,2.0,2,1,1,0,0,4,0.5827,0.0,0.9712,IBL,0.5827000141143799,1e-04,0.0018,0.9982,20,False,True,True,FITNESS_CERT_EXPIRED; CRITICAL_JOB_OPEN; CERT_EXPIRING_SOON,True,IBL,0.0
2026-02-20 00:48:18.845518,TS-006,80.0,108000.0,-4400.0,4400.0,7.8,0.7,7.0,960,60,60,60,60,0,0,0,0,0,17.099999999999998,5.0,7.0,765,1,3,8,4,1,1.5,4,0,0,0,0,4,0.5304,1e-04,0.8839,SERVICE,0.5303999781608582,0.9993,0.0005,0.0002,18,True,False,False,CLEAR,False,SERVICE,0.39144385026737966
2026-02-20 00:48:18.845518,TS-007,90.0,134000.0,21600.0,21600.0,9.2,0.78,7.4,1080,60,60,60,60,0,0,0,0,0,16.2,10.0,11.0,769,1,3,8,3,1,2.0,3,0,0,0,0,4,0.5543,1e-04,0.9238,SERVICE,0.5543000102043152,0.9985,0.0012,0.0004,13,True,False,False,CLEAR,False,SERVICE,0.43042932704854125
2026-02-20 00:48:18.845518,TS-008,60.0,76000.0,-36400.0,36400.0,6.2,0.55,6.0,720,-703,-703,-10,-703,1,0,1,2,1,14.4,20.0,8.0,771,1,3,8,1,1,2.5,1,2,2,0,0,4,0.5288,0.0,0.8813,IBL,0.5288000106811523,0.0203,0.0236,0.9561,25,False,True,True,FITNESS_CERT_EXPIRED; CRITICAL_JOB_OPEN; CERT_EXPIRING_SOON,True,IBL,0.0
2026-02-20 00:48:18.845518,TS-009,77.0,118000.0,5600.0,5600.0,8.0,0.68,6.9,924,60,60,60,60,0,0,0,0,0,15.299999999999999,15.0,10.5,764,1,3,8,5,1,1.5,5,0,0,0,0,4,0.5432,1e-04,0.9053,SERVICE,0.5432000160217285,0.9991,0.0007,0.0002,15,True,False,False,CLEAR,False,SERVICE,0.4999961417580887
2026-02-20 00:48:18.845518,TS-010,70.0,95000.0,-17400.0,17400.0,7.0,0.62,6.6,840,60,60,60,60,0,0,0,0,0,18.0,0.0,0.0,763,1,3,8,6,0,1.5,6,0,0,0,0,4,0.5705,0.0002,0.9507,SERVICE,0.5705000162124634,0.9999,1e-04,0.0,5,True,False,False,CLEAR,False,SERVICE,0.6474137209777279
